objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237654606402158710,166.177723000781,5.50273242559856,7.541039,0.09566815,GALAXY,18.99021,17.31705,16.43047,16.01219,15.67948,19.22833,True
1237654606402158738,166.227975549497,5.44813959186864,3.664437,0.08282866,GALAXY,19.80614,17.84318,16.90503,16.47522,16.15064,24.34083,True
1237654606402224320,166.383334733213,5.47501978638653,6.393733,0.1891916,GALAXY,19.49154,18.14035,17.31496,16.85826,16.59822,13.23945,False
1237654606402224334,166.38731350936,5.58109877277727,3.872155,0.1528157,GALAXY,20.68501,18.82515,17.74895,17.2216,16.81995,10.38356,False
1237654606402289753,166.508128351049,5.54525215088978,10.00775,0.07581494,GALAXY,17.86802,16.56061,15.82505,15.41616,15.13152,22.22097,True
1237654606402289768,166.520768572321,5.52835306250961,5.958478,0.07503679,GALAXY,18.50112,16.52104,15.55747,15.11294,14.76733,40.87038,True
1237654606402289803,166.568998760831,5.39887431084608,4.423553,0.1894133,GALAXY,19.90207,18.16045,17.04914,16.57437,16.25014,18.93467,False
1237654606402355477,166.658842858372,5.4928208298358,6.612604,0.1567757,GALAXY,19.55606,18.12468,17.25412,16.83079,16.53229,13.58704,False
1237654606938964255,166.106278062193,5.85117418363937,4.602774,0.2211262,GALAXY,20.80618,18.93243,17.49508,16.97934,16.61519,13.04565,False
1237654668665749618,158.912493023736,-1.10040990410413,5.250922,0.1292931,GALAXY,19.4403,18.06635,17.24171,16.83443,16.56427,16.49644,False
1237654668665749684,158.931465313438,-1.22075451522396,5.020091,0.1428779,GALAXY,19.88001,18.28376,17.35731,16.86029,16.51656,14.35914,False
1237654668665815105,159.112999341649,-1.14610194716861,8.508378,0.02395853,GALAXY,18.26308,16.96508,16.42639,16.14616,15.94501,18.35185,True
1237654668665815113,159.12849200304,-1.18868877084889,5.286623,0.03608739,GALAXY,19.2005,17.95114,17.3671,17.06948,16.82554,14.67465,True
1237654668665815258,159.126974589043,-1.05499753064591,5.954689,0.150111,GALAXY,19.43792,18.36656,17.65519,17.27795,17.03039,10.98815,False
1237654668666011810,159.576597457376,-1.21043464526264,3.934622,0.1376868,GALAXY,20.71858,18.67954,17.58122,17.09242,16.72011,15.53783,False
1237654668666077320,159.622725565842,-1.21687872476233,7.987702,0.1381717,GALAXY,19.97275,17.69273,16.53271,16.04304,15.67977,24.84076,False
1237654668666077363,159.667463156937,-1.21319478655852,4.045173,0.03940077,GALAXY,20.12948,18.21001,17.43377,17.03568,16.80547,19.73528,True
1237654668666077398,159.703569368392,-1.14297481691837,3.193332,0.1247547,GALAXY,21.2317,18.70803,17.6354,17.17273,16.81816,19.82221,False
1237654668666077422,159.699728296667,-1.17168961146142,5.747736,0.1397965,GALAXY,20.39561,18.43253,17.38823,16.91557,16.57448,16.32497,False
1237654669198688303,149.915646853323,-0.784806154495703,5.003089,0.09454266,GALAXY,18.99287,17.72935,17.23184,16.91195,16.80382,12.04084,True
1237654669202686094,159.027366356424,-0.65378953760566,6.079138,0.1153168,GALAXY,20.18273,18.12985,17.04326,16.59185,16.2124,24.78851,False
1237654669202686133,159.107091372437,-0.817813845573787,4.917408,0.08837735,GALAXY,18.94025,17.87168,17.39359,17.05138,16.92887,12.9587,True
1237654669202751642,159.241887777804,-0.644796042051814,4.776764,0.08239438,GALAXY,19.04746,17.67665,16.89921,16.43832,16.12691,23.13293,True
1237654669202817103,159.373987709019,-0.677950512027739,7.858505,0.09556536,GALAXY,19.02127,16.86125,15.81309,15.33537,14.96703,41.76732,True
1237654669202817150,159.295038601276,-0.690179776230878,4.497765,0.07409647,GALAXY,19.54375,17.69688,16.83455,16.38814,16.07138,23.99576,True
1237654669202817157,159.310058785782,-0.708614990457836,6.689796,0.09397531,GALAXY,19.76628,18.00932,17.08229,16.6785,16.37534,19.95303,True
1237654669202817208,159.353580698961,-0.704412920874588,4.582331,0.08277651,GALAXY,19.43497,17.66355,16.7775,16.28544,15.97131,26.30564,True
